tokenId,address,name,Item 1,Item 2,Item 3,Item 4,Item 5,Skin,Chain,Neck Tat,Special Arm Tat,One of One Item,Extra Item,Special Combo,Number of Items,share
0,BPLjqY6WNvC5jayx4Bad1Su2jEmFZih835GC3EBAzr8A,Viper Child,Burger,Nuggets,Ice Cream,Nuggets,Burger,Royal Galaxy,None,None,Ice Cream Tat,None,None,None,5,3
1,CqjfG869pExUXsKQJphBe9nwHqXuZZzzbSdds7a2h9xJ,Out of Order!,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Mythic Ice,Ice Cream Chain,OUT OF ORDER,Ice Cream Tat,1/1 Ice Cream,None,5 Ice Cream,5,3
2,DQHUYVyzEcBRsik7ehqWWynbzsh9zEzHxnmDRkhA2Q2a,Sloane's Cone,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Ice Cream,Royal Galaxy,Ice Cream Chain,OUT OF ORDER,Ice Cream Tat,None,None,5 Ice Cream,5,3
3,DEAoRZXVB6hoZqejkU4qCaGMYV867eM7sX5HkrmkszAf,"Goldmember Special aka I love GOOOLD!. The taste of it, the smell of, the texture.",Nuggets,Burger,Burger,Nuggets,Burger,Gold,None,None,None,None,None,None,5,3
4,DEAoRZXVB6hoZqejkU4qCaGMYV867eM7sX5HkrmkszAf,The Drunk Uncle,Burger,Burger,Burger,Drink,Burger,Blue,None,None,None,None,None,None,5,3
5,DQHUYVyzEcBRsik7ehqWWynbzsh9zEzHxnmDRkhA2Q2a,DePudding,Drink,Drink,Drink,Drink,Drink,Green,None,Dickey Megods,None,None,None,5 Drinks,5,3
6,5NSVk4pDf2iqiP1bx5SUa5aeNQB4KFQ7WcXUFambLviy,The Clean McGreen,Nuggets,Burger,Burger,Drink,Nuggets,Magenta,None,None,None,None,None,None,5,3
7,DEAoRZXVB6hoZqejkU4qCaGMYV867eM7sX5HkrmkszAf,Repo Man Combo,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Pearl,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
8,6qJiffzuMa4LprFhr5Vy7EHbKGH7YkyuL3Zbt5qngf2U,The Elitist Combo,Ice Cream,Drink,Burger,Nuggets,Ice Cream,Jade Galaxy,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
9,3ksQ88R3JtAiS57LVtW6GRpwqgwH6pTKDXHh3Aikpmqc,DeGold Meal,Nuggets,Nuggets,Burger,Nuggets,None,Gold,None,None,None,None,None,None,4,2
10,9MNEGJXKsDBfNXHzMtmutp5J4TY1SnTSqKEKGCPGRQri,Franks PHB Tears Combo Mfs,Drink,Drink,Drink,Drink,Drink,Purple,None,Dickey Megods,None,None,None,5 Drinks,5,3
11,EVzCgsmyEu4LDoXXyBQfF1BmD9XtTnSRJZ61FX2aYums,EPH to confirm after his military service,Burger,Nuggets,Nuggets,Nuggets,Burger,Deep Space,None,None,None,None,None,None,5,3
12,8UBbRS2au7ozz3QivYcM4XKekumhmjNzPbRbg9Lzhoxq,Mickey Nug DeCombo,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Yellow,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
13,FB39YELj81hvoq2vaBeoY7qf5rvpSJBzL4ZLH76deVck,DeChampion Bacon Burger Deluxe,Burger,Burger,Burger,Burger,Burger,Blue,None,Beef Cake,None,None,None,5 Burgers,5,3
14,FB39YELj81hvoq2vaBeoY7qf5rvpSJBzL4ZLH76deVck,Buffalo Bills Nugg Special with Extra Brady Tears Dipping Sauce,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Green,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
15,AzrCp2wiCwxVh98aAHMCisV4KQrvMcp6CKjS3ZVY51Go,Mickey Juice and Burger Slurper Combo,Burger,Drink,Nuggets,Drink,Burger,Magenta,None,None,None,None,None,None,5,3
16,53P92CMYRpwdj7TY5DbS95Uab1CzGDnAXgcUTvBhBcpQ,Mickey DeGotta Pee,Drink,Drink,Drink,Drink,Drink,Pearl,None,Dickey Megods,None,None,None,5 Drinks,5,3
17,53P92CMYRpwdj7TY5DbS95Uab1CzGDnAXgcUTvBhBcpQ,In Dust We Trust,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Purple,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
18,AzrCp2wiCwxVh98aAHMCisV4KQrvMcp6CKjS3ZVY51Go,The Big 5 Nugget Dump,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Jade Galaxy,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
19,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,McTavv,Burger,Nuggets,Nuggets,Drink,Nuggets,Yellow,None,None,None,None,None,None,5,3
20,CXHJActGpsq4AWQRoijoUnorkWA7gwJmyQRbUf11EcDH,Combo #20,Burger,Nuggets,Nuggets,None,None,Marble,Nug Chain,None,None,1/1 Nuggets,None,None,3,1
21,CQjM5TN3RhXWGh3ZiMzpf6ZrGNTXUwCne5Ar5xrgcDi3,Carby Big Mic Meal,Burger,Drink,Nuggets,Burger,Nuggets,Marble,None,None,None,None,None,None,5,3
22,8KrcM1jZtcrkuhFFsewFDzY3CE1W4J8E3DFWKQgowN94,McMazz Combo,Burger,Drink,Ice Cream,Drink,Nuggets,Blue,None,None,Ice Cream Tat,None,None,None,5,3
23,8KrcM1jZtcrkuhFFsewFDzY3CE1W4J8E3DFWKQgowN94,McSmoke Break,Burger,Ice Cream,Ice Cream,Drink,Nuggets,Green,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
24,7t2kMM4L3REDTik3xrr2LB7f7UtrjNGvLUHj2C3tKPCv,Double Mick,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Magenta,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
25,CSR5sGdbn8fwnceRbxXp4hsaRCWhYDAaopJisSNqRhkA,AKs Classic combo,Nuggets,Burger,Burger,Drink,Nuggets,Pearl,None,None,None,None,None,None,5,3
26,3CLhKYmGSBWpS1JQECJUEo6ehwXqQeSLaS1RFLHP8yff,Acid Medusa,Drink,Ice Cream,Burger,Ice Cream,Nuggets,Jade Galaxy,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
27,yq9utKpjdZdwkEbEacSaMQpzi178DS5yEyJZbci1ZXy,Nugs on Nugs on Nugs,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Purple,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
28,yq9utKpjdZdwkEbEacSaMQpzi178DS5yEyJZbci1ZXy,DeSsentials Only,Burger,Burger,Ice Cream,Ice Cream,Burger,Yellow,None,OUT OF ORDER,Ice Cream Tat,None,None,None,5,3
29,EQa1n8XooFSWiapQWVY1BJ8jccHEQmGfBfhj2o9scEbC,Ziggy's Lunch,Nuggets,Burger,Nuggets,Burger,Nuggets,Blue,None,None,None,None,None,None,5,3
30,AA1EwFCcvbxXYvnSYyzidDfVMGqoTGVo5ECVdpNQbFg7,Bodhisattva,Burger,Ice Cream,Classic Fry,Drink,Ice Cream,Deep Space,None,OUT OF ORDER,Classic Tat & Ice Cream Tat,None,None,None,5,3
31,9b1yRkmFCkCAbVtUWMFs9LsttGy9CpV5pTrHqMZ3G2rW,DeFrunk Special,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Royal Galaxy,None,33.3% Nuggets,None,None,3.3 Nugs,5 Nuggets,5,3
32,4nr1PcCtm9Y7P5vEBH8PYw5LyxEcdCMre5c92fRuVW3Z,Tres Hamburguesas y Dos Pepitas,Nuggets,Burger,Burger,Nuggets,Burger,Green,None,None,None,None,None,None,5,3
33,HL5o1zpX6ncHEefEzwXfwhgQ72dyXq4naN24VkVkqbq3,The Johnny five,Burger,Ice Cream,Classic Fry,Drink,Nuggets,Royal Galaxy,Mickey DeChain,None,Classic Tat & Ice Cream Tat,None,None,Perfect Combo,5,3
34,6MmnUMYXxJGVSD8GP93mvuJ6W3aicUAs1gtzX5ntxV5W,Chapter's Brain Food,Nuggets,Burger,Ice Cream,Nuggets,Nuggets,Magenta,None,None,Ice Cream Tat,None,None,None,5,3
